DTO id,UniP id,Category
DTO_00117522,Q92570, nr_protein
DTO_00117512,Q92731, nr_protein
DTO_00117509,P24468, nr_protein
DTO_00117523,Q13285, nr_protein
DTO_00117513,P11474, nr_protein
DTO_02300055,Q96RI1, gpcr_protein
DTO_00117524,O00482, nr_protein
DTO_00117493,Q96RI1, nr_protein
DTO_00117514,O95718, nr_protein
DTO_00117494,Q13133, nr_protein
DTO_00117525,Q15406, nr_protein
DTO_00117515,P62508, nr_protein
DTO_00117495,P55055, nr_protein
DTO_00117516,P10275, nr_protein
DTO_00117480,P10827, nr_protein
DTO_00117496,P11473, nr_protein
DTO_00117517,P04150, nr_protein
DTO_00117497,O75469, nr_protein
DTO_00117489,Q14995, nr_protein
DTO_00117498,Q14994, nr_protein
DTO_00117500,Q14541, nr_protein
DTO_02400055,Q96RI1, gpcr_gene
DTO_00117501,P19793, nr_protein
DTO_00117499,P41235, nr_protein
DTO_00117481,P10828, nr_protein
DTO_00117502,P28702, nr_protein
DTO_00117518,P08235, nr_protein
DTO_00117482,P10276, nr_protein
DTO_00117503,P48443, nr_protein
DTO_00117519,P06401, nr_protein
DTO_00117483,P10826, nr_protein
DTO_00117504,P13056, nr_protein
DTO_00117484,P13631, nr_protein
DTO_00117505,P49116, nr_protein
DTO_00117485,Q07869, nr_protein
DTO_00117520,P22736, nr_protein
DTO_00117486,Q03181, nr_protein
DTO_00117478,P51843, nr_protein
DTO_00117490,P35398, nr_protein
DTO_00117521,P43354, nr_protein
DTO_00117487,P37231, nr_protein
DTO_00117479,Q15466, nr_protein
DTO_00117491,Q92753, nr_protein
DTO_00117488,P20393, nr_protein
DTO_00117506,Q9Y466, nr_protein
DTO_00117492,P51449, nr_protein
DTO_00117510,P10588, nr_protein
DTO_00117507,Q9Y5X4, nr_protein
DTO_00117511,P03372, nr_protein
DTO_00117508,P10589, nr_protein
DTO_01100243,Q6PIU1, ic_protein
DTO_01100196,P15382, ic_protein
DTO_01100331,Q96QT4, ic_protein
DTO_01100284,P21817, ic_protein
DTO_01100235,P56696, ic_protein
DTO_01100330,Q9NZQ8, ic_protein
DTO_01100225,Q96T55, ic_protein
DTO_01100313,Q6UXY8, ic_protein
DTO_01100283,O00168, ic_protein
DTO_01100234,O43525, ic_protein
DTO_01100275,Q9H5I5, ic_protein
DTO_01100322,Q9UBN4, ic_protein
DTO_01100176,Q16558, ic_protein
DTO_01100226,Q96T54, ic_protein
DTO_01100314,Q7Z403, ic_protein
DTO_01100312,Q7Z404, ic_protein
DTO_01100241,Q6UVM3, ic_protein
DTO_01100309,Q8TDI8, ic_protein
DTO_01100233,O43526, ic_protein
DTO_01100274,Q92508, ic_protein
DTO_01100321,Q13507, ic_protein
DTO_01100175,Q12791, ic_protein
DTO_01100242,A8MYU2, ic_protein
DTO_01100269,O15547, ic_protein
DTO_01100311,Q7Z5M5, ic_protein
DTO_01100281,Q9NTG1, ic_protein
DTO_01100308,Q9NVV0, ic_protein
DTO_01100232,P51787, ic_protein
DTO_01100320,P48995, ic_protein
DTO_01100273,Q96QZ0, ic_protein
DTO_01100174,Q6PIL6, ic_protein
DTO_01100339,Q9H313, ic_protein
DTO_01100310,Q8TDI7, ic_protein
DTO_01100299,Q9UQD0, ic_protein
DTO_01100231,O15554, ic_protein
DTO_01100307,Q9H6F2, ic_protein
DTO_01100209,Q8NCM2, ic_protein
DTO_01100272,Q96RD6, ic_protein
DTO_01100338,Q9H1D0, ic_protein
DTO_01100298,Q01118, ic_protein
DTO_01100230,Q9UGI6, ic_protein
DTO_01100306,P51170, ic_protein
DTO_01100271,Q96RD7, ic_protein
DTO_01100249,Q9GZU1, ic_protein
DTO_01100195,Q9UK17, ic_protein
DTO_01100337,Q9NQA5, ic_protein
DTO_01100268,Q93086, ic_protein
DTO_01100266,P56373, ic_protein
DTO_01100189,P48547, ic_protein
DTO_01100297,Q14524, ic_protein
DTO_01100270,Q99572, ic_protein
DTO_01100200,Q9H3M0, ic_protein
DTO_01100194,Q9NZV8, ic_protein
DTO_01100267,Q99571, ic_protein
DTO_01100336,Q9HBA0, ic_protein
DTO_01100296,Q8IWT1, ic_protein
DTO_01100193,Q9NSA2, ic_protein
DTO_01100240,Q5JUK3, ic_protein
DTO_01100335,Q8NET8, ic_protein
DTO_01100334,Q9Y5S1, ic_protein
DTO_01100280,Q13563, ic_protein
DTO_01100219,Q9Y2U2, ic_protein
DTO_01100265,Q9UBL9, ic_protein
DTO_01100188,Q92953, ic_protein
DTO_01100187,Q14721, ic_protein
DTO_01100218,Q9Y257, ic_protein
DTO_01100208,Q9UQ05, ic_protein
DTO_01100254,Q8IZF0, ic_protein
DTO_01100342,Q401N2, ic_protein
DTO_01100295,P35499, ic_protein
DTO_01100192,Q03721, ic_protein
DTO_01100340,Q9BSA4, ic_protein
DTO_01100293,Q9NY46, ic_protein
DTO_01100190,Q96PR1, ic_protein
DTO_01100217,O95279, ic_protein
DTO_01100305,P51172, ic_protein
