#virProtID	proteinName
1	full_polyprotein 1..2121
2	full_polyprotein 1..2119
3	full_polyprotein 1..2193
4	full_polyprotein 1..2192
5	full_polyprotein 1..2190
6	full_polyprotein 1..2208
7	full_polyprotein 1..2201
8	full_polyprotein 1..2191
9	full_polyprotein 1..2187
10	full_polyprotein 1..2184
11	full_polyprotein 1..3387
12	full_polyprotein 1..2189
13	full_polyprotein 1..2196
14	full_polyprotein 1..2203
15	full_polyprotein 1..2193
16	full_polyprotein 1..2191
17	full_polyprotein 1..2198
18	full_polyprotein 1..2192
19	full_polyprotein 1..2188
20	full_polyprotein 1..2210
21	full_polyprotein 1..2214
22	full_polyprotein 1..2214
23	full_polyprotein 1..3015
24	full_polyprotein 1..3033
25	full_polyprotein 1..3033
26	full_polyprotein 1..3033
27	full_polyprotein 1..3010
28	full_polyprotein 1..3034
29	full_polyprotein 1..3024
30	full_polyprotein 1..3022
31	full_polyprotein 1..3021
32	full_polyprotein 1..3008 (gene: HCV G4)
33	full_polyprotein 1..3007
34	full_polyprotein 1..3010
35	full_polyprotein 1..3006
36	full_polyprotein 1..3007
37	full_polyprotein 1..3006
38	full_polyprotein 1..3012
39	full_polyprotein 1..3005
40	full_polyprotein 1..3424
41	full_polyprotein 1..3416
42	full_polyprotein 1..3427
43	full_polyprotein 1..3414
44	full_polyprotein 1..2179
45	full_polyprotein 1..2177
46	full_polyprotein 1..2185
47	enterovirus precursor polypeptide
48	full_polyprotein 1..2153
49	full_polyprotein 1..2155
50	full_polyprotein 1..2157
51	full_polyprotein 1..2186
52	full_polyprotein 1..2178
53	full_polyprotein 1..2178
54	full_polyprotein 1..2468
55	full_polyprotein 1..2370
56	full_polyprotein 1..2365
57	full_polyprotein 1..3430
58	full_polyprotein 1..3405
59	capsid protein
60	nonstructural protein
61	capsid
62	rep
63	capsid protein (gene: VP1)
64	DNA binding trs helicase (gene: Rep22)
65	capsid protein VP1
66	nonstructural protein Rep78
67	nonstructural protein Rep78
68	capsid protein VP1
69	full_polyprotein 1..2183
70	full_polyprotein 1..2183
71	capsid protein
72	replication-associated protein
73	capsid protein (gene: cap)
74	replication-association protein (gene: rep)
75	capsid protein (gene: cap)
76	replication-association protein (gene: rep)
77	capsid protein (gene: cap)
78	replication-association protein (gene: rep)
79	capsid protein (gene: cap)
80	replication-association protein (gene: rep)
81	capsid protein (gene: cap)
82	replication-association protein (gene: rep)
83	capsid protein (gene: cap)
84	replication-association protein (gene: rep)
85	replication-association protein (gene: rep)
86	capsid protein (gene: cap)
87	replication-association protein (gene: rep)
88	capsid protein (gene: cap)
89	replication-association protein (gene: rep)
90	capsid protein (gene: cap)
91	capsid protein
92	replication-association protein
93	capsid protein
94	replication association protein
95	full_polyprotein 1..2194
96	full_polyprotein 1..2194
97	replication associated protein
98	capsid
99	VP1 (gene: VP1)
100	VP2 (gene: VP2)
101	full_polyprotein 1..644
102	full_polyprotein 1..1733
103	NS1
104	VP1
105	ORF2
106	ORF1 (gene: ORF1)
107	non-structural proteins and a major structural protein
108	putative minor structural protein
109	RNA-dependent RNA polymerase (gene: L)
110	glycoprotein precusor
111	capsid protein (gene: cap)
112	replication-association protein (gene: rep)
113	hypothetical protein (TT viral orf1) (gene: ORF1)
114	hypothetical protein (TT viral orf2) (gene: ORF2)
115	ORF1
116	ORF2
117	hypothetical protein ALH8_gp2 (gene: ORF1)
118	hypothetical protein ALH8_gp1 (gene: ORF2)
119	ORF2
120	ORF3
121	ORF1
122	capsid protein
123	nonstructural protein
124	nonstructural protein
125	nonstructural protein
126	nonstructural protein
127	capsid protein
128	capsid protein
129	nonstructural protein
130	nonstructural protein
131	capsid protein
132	nonstructural protein
133	nonstructural protein
134	capsid protein precursor
135	putative serine protease
136	putative RNA-dependent RNA polymerase
137	RNA-dependent RNA polymerase motif
138	3C-like serine protease motif
139	capsid precursor protein
140	structural protein
141	nonstructural protein
142	RNA-dependent RNA polymerase
143	RNA-dependent RNA polymerase
144	nonstructural protein
145	capsid protein
146	putative serine protease (gene: ORF1a)
147	putative RNA-dependent RNA polymerase (gene: ORF1b)
148	capsid protein (gene: ORF2)
149	ORF1a
150	ORF1ab
151	ORF2
152	non-structural protein
153	non-structural protein
154	capsid
155	capsid protein
156	ORF1b
157	ORF1a
158	ORF2 (gene: ORF2)
159	ORF1a (gene: ORF1a)
160	ORF1b (gene: ORF1b)
161	putative capsid protein
162	putative serine protease
163	putative RNA dependent RNA polymerase
164	ORF1b
165	ORF1a
166	putative capsid protein
167	nonstructural protein 1a
168	nonstructural protein 1ab
169	capsid protein precursor (gene: ORF2)
170	capsid protein precursor
171	non-structural protein 1ab
172	non-structural protein 1a
173	ORF1a
174	ORF1b
175	putative capsid protein
176	ORF1a
177	ORF1b
178	putative capsid protein
179	basic protein (gene: ORF3)
180	full_polyprotein 1..1785 (gene: ORF1)
181	capsid protein (gene: ORF2)
182	replication-associated protein
183	RepA
184	capsid protein
185	apoptin (gene: apoptin)
186	VP1 protein (gene: VP1)
187	VP2 protein (gene: VP2)
188	VP2
189	VP1
190	VP3
191	VP2
192	hypothetical protein
193	VP1
194	VP2
195	VP1
196	VP3
197	G1/G2 glycoprotein
198	nucleocapsid protein
199	putative L protein
200	nucleoprotein
201	full_polyprotein 1..3945 (gene: RdRp)
202	glycoprotein precursor
203	hypothetical protein HEVgp9
204	full_polyprotein 1..1693
205	capsid protein
206	capsid protein (gene: orf2)
207	full_polyprotein 1..1699 (gene: orf1)
208	orf3 (gene: orf3)
209	replication associated protein (gene: rep)
210	capsid protein (gene: CP)
211	replication protein (gene: rep)
212	full_polyprotein 1..1733 (gene: gag-pro-pol)
