#virProtID	NCBI_ID
1	YP_009026376.1
2	YP_009112712.1
3	AEJ54595.1
4	AIZ97149.1
5	AEJ54592.1
6	ABC84488.1
7	AEJ54593.1
8	AEJ54594.1
9	AAD46138.1
10	AAD02132.1
11	AHK05342.1
12	ADO32837.1
13	AAD19342.1
14	AAO48740.1
15	AEB71507.1
16	CDQ47775.1
17	AEK80016.1
18	AHL27172.1
19	AIN45139.1
20	AIT57557.1
21	AAW72811.1
22	AAW72810.1
23	CAP45524.1
24	BAM28691.1
25	AFN53801.1
26	AFN53789.1
27	AFN53788.1
28	AFN53802.1
29	ADE10208.1
30	AFN53790.1
31	AFN53791.1
32	BAM95359.1
33	AFN53799.1
34	AFN53794.1
35	AFN53807.1
36	AFN53805.1
37	AFN53814.1
38	AFN53798.1
39	AFN53796.1
40	YP_001040006.1
41	YP_224133.1
42	YP_006846328.2
43	NP_878909.1
44	CAA06679.1
45	CAI64373.1
46	AFO10976.1
47	CAB64659.1
48	ABO69370.1
49	ABO69371.1
50	AAV27300.1
51	ABO69376.1
52	ABO69379.1
53	ABO69381.1
54	YP_009028557.1
55	YP_003065643.1
56	YP_009067077.1
57	YP_001008348.1
58	YP_002922020.1
59	NP_043941.1
60	NP_043940.1
61	NP_044927.1
62	NP_044926.1
63	YP_068409.1
64	YP_068408.1
65	AAB95450.1
66	AAB95449.1
67	AAB95451.1
68	AAB95452.1
69	CAA29172.1
70	AAL37156.1
71	YP_009021871.1
72	YP_009021870.1
73	ADD62472.1
74	ADD62471.1
75	ADD62474.1
76	ADD62473.1
77	ADD62452.1
78	ADD62451.1
79	ADD62454.1
80	ADD62453.1
81	ADD62456.1
82	ADD62455.1
83	ADD62458.1
84	ADD62457.1
85	ADD62459.1
86	ADD62460.1
87	ADD62479.1
88	ADD62480.1
89	ADD62477.1
90	ADD62478.1
91	YP_009047066.1
92	YP_009047065.1
93	YP_008130364.1
94	YP_008130363.1
95	AAL37155.1
96	AAD45119.1
97	YP_009130661.1
98	YP_009130660.1
99	YP_006576517.1
100	YP_006576516.1
101	AAG29094.1
102	AAG29093.1
103	AIX96900.1
104	AIX96901.1
105	YP_238483.1
106	YP_238482.1
107	YP_009137510.1
108	YP_009137511.1
109	CAA39847.1
110	AAB19434.1
111	ADD62476.1
112	ADD62475.1
113	YP_003587871.1
114	YP_003587870.1
115	YP_003587826.1
116	YP_003587825.1
117	YP_009109713.1
118	YP_009109712.1
119	YP_238295.1
120	YP_238296.1
121	YP_238294.1
122	ACN78549.1
123	ACN78547.1
124	ACN78548.1
125	ACN78551.1
126	ACN78550.1
127	ACN78552.1
128	ACN78555.1
129	ACN78553.1
130	ACN78554.1
131	ACN78558.1
132	ACN78556.1
133	ACN78557.1
134	AGV40897.1
135	AGV40898.1
136	AGV40899.1
137	AAY84778.1
138	AAY84777.1
139	AAY84779.1
140	AAY46274.1
141	AAY46272.1
142	AAY46273.1
143	ACV92106.1
144	ACV92105.1
145	ACV92107.1
146	AAF85962.1
147	AAF85963.1
148	AAF85964.1
149	YP_009047079.1
150	YP_009047078.1
151	YP_009047080.1
152	YP_003275952.1
153	YP_003275951.1
154	YP_003275953.1
155	YP_002290968.1
156	YP_002290967.1
157	YP_002290966.1
158	ADJ38388.1
159	ADJ38386.1
160	ADJ38387.1
161	YP_004934010.1
162	YP_004934008.1
163	YP_004934009.1
164	YP_006905853.1
165	YP_006905852.1
166	YP_006905854.1
167	ADH93576.1
168	ADH93575.1
169	ADH93577.1
170	YP_003090288.1
171	YP_003090286.1
172	YP_003090287.1
173	YP_006905858.1
174	YP_006905859.1
175	YP_006905860.1
176	YP_006905855.1
177	YP_006905856.1
178	YP_006905857.1
179	BAB18268.1
180	BAB18266.1
181	BAB18267.1
182	YP_009130657.1
183	YP_009130658.1
184	YP_009130659.1
185	YP_004564624.1
186	YP_004564625.1
187	YP_004564623.1
188	YP_005454310.1
189	YP_005454312.1
190	YP_005454311.1
191	YP_008798236.1
192	YP_008798237.1
193	YP_008798238.1
194	YP_008798239.1
195	YP_008798241.1
196	YP_008798240.1
197	YP_138532.1
198	YP_138528.1
199	YP_138530.1
200	NP_950237.1
201	YP_325663.1
202	NP_950235.1
203	YP_003864075.1
204	NP_056779.1
205	NP_056788.1
206	CAA60255.1
207	CAA60254.1
208	CAA60256.1
209	YP_009051837.1
210	YP_009051836.1
211	YP_009051838.1
212	ABB83225.1
213	ABB83226.1
214	ABB83224.1
215	ABB83228.1
216	ABB83229.1
217	ABB83227.1
218	ABD49688.1
219	ABD49687.1
220	ABD49686.1
221	AAK50354.1
222	AAK50356.1
223	AAK50355.1
224	AAR32989.1
225	AAR32988.1
226	AAR32987.1
227	AII73764.1
228	AII73766.1
229	AII73765.1
230	AII73783.1
231	AII73784.1
232	AII73782.1
233	AKB94551.1
234	AKB94550.1
235	AKB94549.1
236	AID68580.1
237	AID68582.1
238	AID68581.1
239	AII73770.1
240	AII73771.1
241	AII73772.1
242	AII73736.1
243	AII73734.1
244	AII73735.1
245	AII73786.1
246	AII73785.1
247	AII73787.1
248	AII73721.1
249	AII73719.1
250	AII73720.1
251	AII73718.1
252	AII73717.1
253	AII73716.1
254	AII73748.1
255	AII73747.1
256	AII73746.1
257	AII73754.1
258	AII73753.1
259	AII73752.1
260	AII73760.1
261	AII73758.1
262	AII73759.1
263	AII73742.1
264	AII73741.1
265	AII73740.1
266	AII73779.1
267	AII73779.1
268	AII73780.1
269	AII73723.1
270	AII73722.1
271	AII73724.1
272	AII73749.1
273	AII73750.1
274	AII73751.1
275	AII73773.1
276	AII73775.1
277	AII73774.1
278	AII73763.1
279	AII73761.1
280	AII73762.1
281	AII73767.1
282	AII73769.1
283	AII73768.1
284	AII73729.1
285	AII73728.1
286	AII73730.1
287	AII73726.1
288	AII73725.1
289	AII73727.1
290	AII73733.1
291	AII73732.1
292	AII73731.1
293	AII73776.1
294	AII73777.1
295	AII73778.1
296	AII73738.1
297	AII73737.1
298	AII73739.1
299	AII73743.1
300	AII73744.1
301	AII73745.1
302	AII73755.1
303	AII73757.1
304	AII73756.1
305	AGX01091.1
306	AGX01092.1
307	AGX01093.1
308	ACU56257.1
309	ACU56258.1
310	ACU56259.1
311	AFH88384.1
312	AFH88382.1
313	AFH88383.1
314	AGT39192.1
315	AGT39190.1
316	AGT39191.1
317	AGT39195.1
318	AGT39194.1
319	AGT39193.1
320	AGT39196.1
321	AGT39197.1
322	AGT39198.1
323	AGT39200.1
324	AGT39199.1
325	AGT39201.1
326	AGT39202.1
327	AGT39204.1
328	AGT39203.1
329	AEI29585.1
330	AEI29587.1
331	AEI29586.1
332	ADT70685.1
333	ADT70683.1
334	ADT70684.1
335	ADE28702.1
336	ADE28700.1
337	ADE28701.1
338	ADK23787.1
339	ADK23788.1
340	ADK23786.1
341	AGX01095.1
342	AGX01096.1
343	AGX01094.1
344	AFL70022.1
345	AFL70024.1
346	AFL70023.1
347	AFV08776.1
348	AFV08777.1
349	AFV08778.1
350	AFV08775.1
351	AFV08773.1
352	AFV08774.1
353	ACT76142.1
354	ACT76143.1
355	ACT76141.1
356	ACT76144.1
357	ACT76146.1
358	ACT76145.1
359	ACT76147.1
360	ACT76149.1
361	ACT76148.1
362	ACT76150.1
363	ACT76152.1
364	ACT76151.1
365	AFV08782.1
366	AFV08783.1
367	AFV08784.1
368	AIV99915.1
369	AIV99914.1
370	AIV99913.1
371	AGS16689.1
372	AGS16691.1
373	AGS16690.1
374	AGS16693.1
375	AGS16692.1
376	AGS16694.1
377	AGC96530.1
378	AGC96528.1
379	AGC96529.1
380	AGC96533.1
381	AGC96531.1
382	AGC96532.1
383	AFX95941.1
384	AFX95939.1
385	AFX95940.1
386	AGN11943.1
387	AGN11942.1
388	AGN11944.1
389	AFZ84662.1
390	AFZ84663.1
391	AFZ84664.1
392	AFV08781.1
393	AFV08779.1
394	AFV08780.1
395	ADM52743.1
396	ADM52742.1
397	ADM52744.1
398	AHB62403.1
399	AHB62405.1
400	AHB62404.1
401	AHB62407.1
402	AHB62408.1
403	AHB62406.1
404	AGX01098.1
405	AGX01097.1
406	AGX01099.1
407	ABG49510.1
408	ABG49509.1
409	ABG49508.1
410	AFV08789.1
411	AFV08788.1
412	AFV08790.1
413	AEX91911.1
414	AEX91909.1
415	AEX91910.1
416	AGI96382.1
417	AGI96384.1
418	AGI96383.1
419	AFP89596.1
420	AFP89597.1
421	AFP89595.1
422	AFP89594.1
423	AFP89592.1
424	AFP89593.1
425	AFV08770.1
426	AFV08771.1
427	AFV08772.1
428	AFV08785.1
429	AFV08787.1
430	AFV08786.1
431	AFJ21384.1
432	AFJ21385.1
433	AFJ21386.1
434	AGI37921.1
435	AGI37923.1
436	AGI37922.1
437	AHZ89837.1
438	AHZ89836.1
439	AHZ89838.1
440	AFV08796.1
441	AFV08794.1
442	AFV08795.1
443	AFV08792.1
444	AFV08793.1
445	AFV08791.1
446	AGC96534.1
447	AGC96535.1
448	AGC96536.1
449	AFJ21378.1
450	AFJ21379.1
451	AFJ21380.1
452	AFJ21381.1
453	AFJ21383.1
454	AFJ21382.1
455	AGM46343.1
456	AGM46345.1
457	AGM46344.1
458	AGM46347.1
459	AGM46346.1
460	AGM46348.1
461	AGM46349.1
462	AGM46351.1
463	AGM46350.1
464	AGM46353.1
465	AGM46352.1
466	AGM46354.1
467	AGM46357.1
468	AGM46355.1
469	AGM46356.1
470	ADF47124.1
471	ADF47125.1
472	ADF47126.1
473	AFJ24945.1
474	AFJ24944.1
475	AFJ24946.1
476	AFN09917.1
477	AFN09918.1
478	AFN09919.1
479	AFN09920.1
480	AFN09922.1
481	AFN09921.1
482	AFN09925.1
483	AFN09923.1
484	AFN09924.1
485	AFN09926.1
486	AFN09928.1
487	AFN09927.1
488	AFN09929.1
489	AFN09930.1
490	AFN09931.1
491	AFN09934.1
492	AFN09933.1
493	AFN09932.1
494	AFN09935.1
495	AFN09937.1
496	AFN09936.1
497	AFN09940.1
498	AFN09938.1
499	AFN09939.1
500	AFN09941.1
501	AFN09942.1
