#virusTaxid	nucleic1	nucleic2	order	family	subfamily	genus	specie	name
10804	DNA	ssDNA	nan	Parvoviridae	Parvovirinae	Dependoparvovirus	Adeno-associated dependoparvovirus A	Adeno-associated virus - 2
46350	DNA	ssDNA	nan	Parvoviridae	Parvovirinae	Dependoparvovirus	Adeno-associated dependoparvovirus A	Adeno-associated virus - 3
57579	DNA	ssDNA	nan	Parvoviridae	Parvovirinae	Dependoparvovirus	Adeno-associated dependoparvovirus A	Adeno-associated virus - 4
82300	DNA	ssDNA	nan	Parvoviridae	Parvovirinae	Dependoparvovirus	Adeno-associated dependoparvovirus B	Adeno-associated virus - 5
68558	DNA	ssDNA	nan	Parvoviridae	Parvovirinae	Dependoparvovirus	Adeno-associated virus - 1	Adeno-associated virus - 6
68742	DNA	ssDNA	nan	Parvoviridae	Parvovirinae	Dependoparvovirus	Adeno-associated virus - 3	Adeno-associated virus 3B
335103	RNA	dsRNA	nan	Reoviridae	Sedoreovirinae	Rotavirus	Rotavirus H	Adult diarrheal rotavirus strain J19
338079	RETRO	retro-RNA	nan	Retroviridae	Spumaretrovirinae	Spumavirus	nan	African green monkey simian foamy virus
1313215	RNA	(+)ssRNA	Picornavirales	Picornaviridae	nan	Kobuvirus	Aichivirus A	Aichi virus 1
172148	RNA	(+)ssRNA	nan	Flaviviridae	nan	Flavivirus	Kyasanur forest disease virus	Alkhumra hemorrhagic fever virus
333767	DNA	dsDNA	nan	Papillomaviridae	nan	Alphapapillomavirus	nan	Alphapapillomavirus 3
337043	DNA	dsDNA	nan	Papillomaviridae	nan	Alphapapillomavirus	nan	Alphapapillomavirus 4
337042	DNA	dsDNA	nan	Papillomaviridae	nan	Alphapapillomavirus	nan	Alphapapillomavirus 7
568715	RNA	(+)ssRNA	nan	Astroviridae	nan	nan	nan	Astrovirus MLB1
858367	RNA	(+)ssRNA	nan	Astroviridae	nan	nan	Astrovirus MLB1	Astrovirus MLB1 HK05
683172	RNA	(+)ssRNA	nan	Astroviridae	nan	nan	nan	Astrovirus MLB2
1247114	RNA	(+)ssRNA	nan	Astroviridae	nan	nan	nan	Astrovirus MLB3
767521	RNA	(+)ssRNA	nan	Astroviridae	nan	nan	Astrovirus VA1	Astrovirus SG
645687	RNA	(+)ssRNA	nan	Astroviridae	nan	nan	nan	Astrovirus VA1
