2016-11-17 12:53:11 - __main__.auxiliary.DBAdaptor - INFO: Creating new TCRD DBAdaptor instance
2016-11-17 12:53:11 - __main__ - INFO: Connected to TCRD database tcrd4 (schema ver 4.0.0; data ver 4.0.0)
2016-11-17 12:53:11 - __main__ - INFO: Loading data for 20120 proteins
2016-11-17 12:53:11 - __main__ - INFO: Processing UniProt entry 0: P30450
2016-11-17 12:53:12 - __main__ - INFO: Processing UniProt entry 1: P10314
2016-11-17 12:53:18 - __main__ - INFO: Processing UniProt entry 2: P30453
2016-11-17 12:53:56 - __main__ - INFO: Processing UniProt entry 3: P30456
2016-11-17 12:53:57 - __main__ - INFO: Processing UniProt entry 4: P30464
2016-11-17 12:53:58 - __main__ - INFO: Processing UniProt entry 5: P03989
2016-11-17 12:54:04 - __main__ - INFO: Processing UniProt entry 6: P30479
2016-11-17 12:54:05 - __main__ - INFO: Processing UniProt entry 7: P30486
2016-11-17 12:54:11 - __main__ - INFO: Processing UniProt entry 8: P30487
2016-11-17 12:54:17 - __main__ - INFO: Processing UniProt entry 9: P30492
2016-11-17 12:54:23 - __main__ - INFO: Processing UniProt entry 10: Q29836
2016-11-17 12:54:24 - __main__ - INFO: Processing UniProt entry 11: P30498
2016-11-17 12:54:24 - __main__ - INFO: Processing UniProt entry 12: Q29963
2016-11-17 12:54:25 - __main__ - INFO: Processing UniProt entry 13: P10321
2016-11-17 12:54:27 - __main__ - INFO: Processing UniProt entry 14: Q14738
2016-11-17 12:54:28 - __main__ - INFO: Processing UniProt entry 15: P63151
2016-11-17 12:54:28 - __main__ - INFO: Processing UniProt entry 16: P26439
2016-11-17 12:54:29 - __main__ - INFO: Processing UniProt entry 17: P11171
2016-11-17 12:54:36 - __main__ - INFO: Processing UniProt entry 18: A5X5Y0
2016-11-17 12:54:36 - __main__ - INFO: Processing UniProt entry 19: P34969
2016-11-17 12:54:42 - __main__ - INFO: Processing UniProt entry 20: O95336
2016-11-17 12:54:43 - __main__ - INFO: Processing UniProt entry 21: Q8NHS2
2016-11-17 12:54:44 - __main__ - INFO: Processing UniProt entry 22: P17174
2016-11-17 12:54:45 - __main__ - INFO: Processing UniProt entry 23: P00505
2016-11-17 12:54:51 - __main__ - INFO: Processing UniProt entry 24: Q5VST6
2016-11-17 12:54:57 - __main__ - INFO: Processing UniProt entry 25: Q8N139
2016-11-17 12:54:58 - __main__ - INFO: Processing UniProt entry 26: Q09428
2016-11-17 12:54:59 - __main__ - INFO: Processing UniProt entry 27: Q9NSE7
