TCRD ID	TDL	IDG_Family	IDG_Family_Extended	Name	UniProt
1	Tbio		14-3-3	1433S_HUMAN	P31947
2	Tbio			1B14_HUMAN	P30462
3	Tbio			1B41_HUMAN	P30479
4	Tbio			1B45_HUMAN	P30483
5	Tbio			1B48_HUMAN	P30486
6	Tbio			1B49_HUMAN	P30487
7	Tbio			1B51_HUMAN	P18464
8	Tbio			1B55_HUMAN	P30493
9	Tbio			1B57_HUMAN	P18465
10	Tbio			1B59_HUMAN	Q29940
11	Tbio			1B73_HUMAN	Q31612
12	Tbio			1C14_HUMAN	P30510
13	Tbio			1C12_HUMAN	P30508
14	Tdark	Enzyme	phosphatase	2ABD_HUMAN	Q66LE6
15	Tbio			2B19_HUMAN	Q9TQE0
16	Tbio			2B1E_HUMAN	Q9GIY3
17	Tbio	Enzyme	3-beta-HSD	3BHS7_HUMAN	Q9H2F3
18	Tdark			3BP1_HUMAN	Q9Y3L3
19	Tdark			3BP5L_HUMAN	Q7L8J4
20	Tbio			4EBP1_HUMAN	Q13541
21	Tdark	Enzyme		5NT1B_HUMAN	Q96P26
22	Tbio	Enzyme		5NTD_HUMAN	P21589
23	Tchem	Enzyme		6PGD_HUMAN	P52209
24	Tdark		serpin_family	A1ATR_HUMAN	P20848
25	Tbio			A2GL_HUMAN	P02750
26	Tbio			A2MG_HUMAN	P01023
27	Tdark			A7L3B_HUMAN	Q96GX2
28	Tclin	GPCR	GPCR	AA2BR_HUMAN	P29275
29	Tbio	Enzyme	ATP=dependent_AMP-binding	AACS_HUMAN	Q86V21
30	Tbio		serpin_family	AACT_HUMAN	P01011
31	Tdark			AAR2_HUMAN	Q9Y312
32	Tdark			AARD_HUMAN	Q4LEZ3
33	Tbio	Enzyme		AASS_HUMAN	Q9UDR5
34	Tdark	Enzyme	AB_hydrolase_superfamily	AB17B_HUMAN	Q5VST6
35	Tbio			ABC3B_HUMAN	Q9UH17
36	Tbio			ABC3G_HUMAN	Q9HC16
37	Tbio	Transporter	ATP_binding_cassette_Transporter	ABCA6_HUMAN	Q8N139
38	Tdark	Transporter	ATP_binding_cassette_Transporter	ABCA9_HUMAN	Q8IUA7
39	Tdark	Transporter	ATP_binding_cassette_Transporter	ABCAA_HUMAN	Q8WWZ4
40	Tbio	Transporter	ATP_binding_cassette_Transporter	ABCAD_HUMAN	Q86UQ4
41	Tdark	Transporter	ATP_binding_cassette_Transporter	ABCF3_HUMAN	Q9NUQ8
42	Tbio	Transporter	ATP_binding_cassette_Transporter	ABCG5_HUMAN	Q9H222
43	Tchem	Enzyme		ABD12_HUMAN	Q8N2K0
44	Tbio	Enzyme	AB_hydrolase_superfamily	ABHDA_HUMAN	Q9NUJ1
45	Tdark	Enzyme		ABHDD_HUMAN	Q7L211
46	Tbio	Enzyme	ATP=dependent_AMP-binding	ACBG2_HUMAN	Q5FVE4
47	Tbio			ACBP_HUMAN	P07108
48	Tbio		14-3-3	1433B_HUMAN	P31946
49	Tbio			1A01_HUMAN	P30443
50	Tbio			1A03_HUMAN	P04439
51	Tdark	Enzyme		1A1L2_HUMAN	Q4AC99
52	Tbio			1A23_HUMAN	P30447
53	Tbio			1A24_HUMAN	P05534
54	Tbio			1A29_HUMAN	P30512
55	Tbio			1A31_HUMAN	P16189
56	Tbio			1A34_HUMAN	P30453
57	Tbio			1B47_HUMAN	P30485
58	Tbio			1B50_HUMAN	P30488
59	Tbio			1B52_HUMAN	P30490
60	Tbio			1B54_HUMAN	P30492
61	Tbio			1B78_HUMAN	P30498
62	Tbio			1C01_HUMAN	P30499
63	Tbio			1C04_HUMAN	P30504
64	Tbio			1C07_HUMAN	P10321
65	Tbio			1C16_HUMAN	Q29960
66	Tchem	Enzyme	phosphatase	2A5A_HUMAN	Q15172
67	Tbio	Enzyme	phosphatase	2A5B_HUMAN	Q15173
68	Tbio	Enzyme	phosphatase	2ABB_HUMAN	Q00005
69	Tchem			2B11_HUMAN	P04229
70	Tchem	Enzyme	3-beta-HSD	3BHS1_HUMAN	P14060
71	Tclin	Enzyme	3-beta-HSD	3BHS2_HUMAN	P26439
72	Tbio			3BP2_HUMAN	P78314
73	Tbio			3BP5_HUMAN	O60239
74	Tclin	GPCR	GPCR	5HT2A_HUMAN	P28223
75	Tclin	GPCR	GPCR	5HT7R_HUMAN	P34969
76	Tbio	Enzyme		5NT1A_HUMAN	Q9BXI3
77	Tdark	Enzyme		5NT3B_HUMAN	Q969T7
78	Tdark			68MP_HUMAN	P56378
79	Tclin	GPCR	GPCR	AA2AR_HUMAN	P29274
80	Tbio	Enzyme		AAAD_HUMAN	P22760
81	Tchem	Enzyme		AADAT_HUMAN	Q8N5Z0
82	Tbio	Transporter	ATP_binding_cassette_Transporter	ABCA4_HUMAN	P78363
83	Tbio	Transporter	ATP_binding_cassette_Transporter	ABCA7_HUMAN	Q8IZY2
84	Tbio	Transporter	ATP_binding_cassette_Transporter	ABCB9_HUMAN	Q9NP78
85	Tchem	Transporter	ATP_binding_cassette_Transporter	ABCBB_HUMAN	O95342
86	Tbio	Transporter	ATP_binding_cassette_Transporter	ABCCB_HUMAN	Q96J66
87	Tdark	Transporter	ATP_binding_cassette_Transporter	ABCCD_HUMAN	Q9NSE7
88	Tbio	Transporter	ATP_binding_cassette_Transporter	ABCF2_HUMAN	Q9UG63
89	Tbio	Transporter	ATP_binding_cassette_Transporter	ABCG1_HUMAN	P45844
